time p temp
1801 0 95.86125
1802 0 95.853546
1803 0 95.84584
1804 0 95.838135
1805 0 95.83044
1806 0 95.82274
1807 0 95.81504
1808 0 95.80734
1809 0 95.799644
1810 0 95.79195
1811 0 95.78425
1812 0 95.77655
1813 0 95.76885
1814 0 95.761154
1815 0 95.75346
1816 0 95.74577
1817 0 95.73808
1818 0 95.73039
1819 0 95.7227
1820 0 95.71501
1821 0 95.70732
1822 0 95.69963
1823 0 95.69194
1824 0 95.68426
1825 0 95.676575
1826 0 95.66889
1827 0 95.66121
1828 0 95.65353
1829 0 95.64584
1830 0 95.63816
1831 0 95.63048
1832 0 95.622795
1833 0 95.61511
1834 0 95.60744
1835 0 95.59976
1836 0 95.59209
1837 0 95.58441
1838 0 95.57674
1839 0 95.56906
1840 0 95.561386
1841 0 95.55371
1842 0 95.546036
1843 0 95.53836
1844 0 95.53069
1845 0 95.523026
1846 0 95.51536
1847 0 95.50769
1848 0 95.50002
1849 0 95.492355
1850 0 95.48469
1851 0 95.47702
1852 0 95.46935
1853 0 95.461685
1854 0 95.454025
1855 0 95.446365
1856 0 95.438705
1857 0 95.431046
1858 0 95.423386
1859 0 95.415726
1860 0 95.408066
1861 0 95.400406
1862 0 95.392746
1863 0 95.385086
1864 0 95.37743
1865 0 95.36978
1866 0 95.36213
1867 0 95.35448
1868 0 95.346825
1869 0 95.33917
1870 0 95.33152
1871 0 95.32387
1872 0 95.316216
1873 0 95.30857
1874 0 95.30093
1875 0 95.29328
1876 0 95.28564
1877 0 95.27799
1878 0 95.27035
1879 0 95.2627
1880 0 95.25506
1881 0 95.24741
1882 0 95.23977
1883 0 95.23213
1884 0 95.224495
1885 0 95.21686
1886 0 95.20922
1887 0 95.201584
1888 0 95.19395
1889 0 95.18631
1890 0 95.17867
1891 0 95.171036
1892 0 95.1634
1893 0 95.15577
1894 0 95.14814
1895 0 95.14051
1896 0 95.13288
1897 0 95.12525
1898 0 95.11762
1899 0 95.10999
1900 0 95.10236
1901 0 95.094734
1902 0 95.087105
1903 0 95.07948
1904 0 95.07186
1905 0 95.06424
1906 0 95.05662
1907 0 95.048996
1908 0 95.041374
1909 0 95.03375
1910 0 95.02613
1911 0 95.01851
1912 0 95.01089
1913 0 95.00327
1914 0 94.99566
1915 0 94.988045
1916 0 94.98043
1917 0 94.97282
1918 0 94.9652
1919 0 94.95759
1920 0 94.949974
1921 0 94.94236
1922 0 94.934746
1923 0 94.92714
1924 0 94.91953
1925 0 94.91193
1926 0 94.90432
1927 0 94.89671
1928 0 94.88911
1929 0 94.8815
1930 0 94.87389
1931 0 94.86629
1932 0 94.85869
1933 0 94.85109
1934 0 94.84349
1935 0 94.83589
1936 0 94.82829
1937 0 94.820694
1938 0 94.813095
1939 0 94.8055
1940 0 94.7979
1941 0 94.7903
1942 0 94.78271
1943 0 94.775116
1944 0 94.767525
1945 0 94.75993
1946 0 94.75234
1947 0 94.74475
1948 0 94.73716
1949 0 94.72957
1950 0 94.72198
1951 0 94.714386
1952 0 94.7068
1953 0 94.69922
1954 0 94.691635
1955 0 94.68405
1956 0 94.67647
1957 0 94.668884
1958 0 94.6613
1959 0 94.65372
1960 0 94.64613
1961 0 94.63855
1962 0 94.630974
1963 0 94.6234
1964 0 94.61582
1965 0 94.608246
1966 0 94.60067
1967 0 94.593094
1968 0 94.58552
1969 0 94.57794
1970 0 94.570366
1971 0 94.56279
1972 0 94.55522
1973 0 94.54765
1974 0 94.540085
1975 0 94.53252
1976 0 94.52495
1977 0 94.51738
1978 0 94.50981
1979 0 94.50224
1980 0 94.494675
1981 0 94.48711
1982 0 94.479546
1983 0 94.471985
1984 0 94.464424
1985 0 94.45686
1986 0 94.4493
1987 0 94.44174
1988 0 94.43418
1989 0 94.42662
1990 0 94.41906
1991 0 94.4115
1992 0 94.403946
1993 0 94.39639
1994 0 94.38884
1995 0 94.38129
1996 0 94.37373
1997 0 94.36618
1998 0 94.35863
1999 0 94.351074
2000 0 94.34352
2001 0 94.33597
2002 0 94.32842
2003 0 94.32088
2004 0 94.31333
2005 0 94.305786
2006 0 94.29824
2007 0 94.290695
2008 0 94.28315
2009 0 94.275604
2010 0 94.26806
2011 0 94.26051
2012 0 94.252975
2013 0 94.24544
2014 0 94.2379
2015 0 94.23036
2016 0 94.222824
2017 0 94.21529
2018 0 94.20775
2019 0 94.20021
2020 0 94.19267
2021 0 94.185135
2022 0 94.177605
2023 0 94.170074
2024 0 94.162544
2025 0 94.155014
2026 0 94.147484
2027 0 94.13995
2028 0 94.13242
2029 0 94.12489
2030 0 94.11736
2031 0 94.10983
2032 0 94.10231
2033 0 94.09479
2034 0 94.087265
2035 0 94.07974
2036 0 94.07222
2037 0 94.0647
2038 0 94.057175
2039 0 94.04965
2040 0 94.04213
2041 0 94.03461
2042 0 94.02709
2043 0 94.01958
2044 0 94.01206
2045 0 94.00455
2046 0 93.99703
2047 0 93.98952
2048 0 93.982
2049 0 93.97449
2050 0 93.96697
2051 0 93.95946
2052 0 93.95195
2053 0 93.94444
2054 0 93.936935
2055 0 93.92943
2056 0 93.92192
2057 0 93.91441
2058 0 93.906906
2059 0 93.8994
2060 0 93.89189
2061 0 93.884384
2062 0 93.876884
2063 0 93.869385
2064 0 93.861885
2065 0 93.854385
2066 0 93.846886
2067 0 93.839386
2068 0 93.83189
2069 0 93.82439
2070 0 93.81689
2071 0 93.80939
2072 0 93.801895
2073 0 93.7944
2074 0 93.78691
2075 0 93.77942
2076 0 93.77193
2077 0 93.764435
2078 0 93.75694
2079 0 93.74945
2080 0 93.74196
2081 0 93.73447
2082 0 93.72698
2083 0 93.7195
2084 0 93.71201
2085 0 93.70453
2086 0 93.697044
2087 0 93.68956
2088 0 93.682076
2089 0 93.67459
2090 0 93.66711
2091 0 93.65962
2092 0 93.652145
2093 0 93.64467
2094 0 93.63719
2095 0 93.629715
2096 0 93.62224
2097 0 93.61476
2098 0 93.607285
2099 0 93.59981
2100 0 93.59233
2101 0 93.584854
2102 0 93.577385
2103 0 93.569916
2104 0 93.56245
2105 0 93.55498
2106 0 93.54751
2107 0 93.54004
2108 0 93.53257
2109 0 93.5251
2110 0 93.51763
2111 0 93.51016
2112 0 93.5027
2113 0 93.49524
2114 0 93.48778
2115 0 93.480316
2116 0 93.472855
2117 0 93.46539
2118 0 93.45793
2119 0 93.45047
2120 0 93.44301
2121 0 93.43555
2122 0 93.42809
2123 0 93.42064
2124 0 93.413185
2125 0 93.40573
2126 0 93.39828
2127 0 93.39082
2128 0 93.38337
2129 0 93.375916
2130 0 93.36846
2131 0 93.36101
2132 0 93.35356
2133 0 93.346115
2134 0 93.33867
2135 0 93.33122
2136 0 93.32378
2137 0 93.31633
2138 0 93.30888
2139 0 93.30144
2140 0 93.29399
2141 0 93.286545
2142 0 93.279106
2143 0 93.27167
2144 0 93.26423
2145 0 93.25679
2146 0 93.24935
2147 0 93.24191
2148 0 93.234474
2149 0 93.227036
2150 0 93.2196
2151 0 93.21216
2152 0 93.20473
2153 0 93.197296
2154 0 93.189865
2155 0 93.182434
2156 0 93.175
2157 0 93.16757
2158 0 93.16014
2159 0 93.15271
2160 0 93.14528
2161 0 93.13785
2162 0 93.130424
2163 0 93.123
2164 0 93.11558
2165 0 93.108154
2166 0 93.10073
2167 0 93.09331
2168 0 93.085884
2169 0 93.07846
2170 0 93.07104
2171 0 93.063614
2172 0 93.05619
2173 0 93.048775
2174 0 93.04136
2175 0 93.03394
2176 0 93.02653
2177 0 93.01911
2178 0 93.011696
2179 0 93.00428
2180 0 92.996864
2181 0 92.98945
2182 0 92.98203
2183 0 92.974625
2184 0 92.96722
2185 0 92.95981
2186 0 92.9524
2187 0 92.94499
2188 0 92.937584
2189 0 92.930176
2190 0 92.92277
2191 0 92.91536
2192 0 92.90795
2193 0 92.90055
2194 0 92.89315
2195 0 92.88575
2196 0 92.87835
2197 0 92.87095
2198 0 92.86355
2199 0 92.85615
2200 0 92.84875
2201 0 92.84135
2202 0 92.83395
2203 0 92.82655
2204 0 92.81916
2205 0 92.81177
2206 0 92.804375
2207 0 92.79698
2208 0 92.78959
2209 0 92.782196
2210 0 92.7748
2211 0 92.76741
2212 0 92.76002
2213 0 92.75263
2214 0 92.74525
2215 0 92.73786
2216 0 92.73048
2217 0 92.72309
2218 0 92.715706
2219 0 92.70832
2220 0 92.700935
2221 0 92.69355
2222 0 92.686165
2223 0 92.67879
2224 0 92.67141
2225 0 92.66403
2226 0 92.656654
2227 0 92.64928
2228 0 92.6419
2229 0 92.63452
2230 0 92.627144
2231 0 92.61977
2232 0 92.61239
2233 0 92.60502
2234 0 92.59765
2235 0 92.59028
2236 0 92.58291
2237 0 92.57554
2238 0 92.56817
2239 0 92.5608
2240 0 92.55343
2241 0 92.54606
2242 0 92.53869
2243 0 92.53132
2244 0 92.52396
2245 0 92.516594
2246 0 92.50923
2247 0 92.50187
2248 0 92.49451
2249 0 92.487144
2250 0 92.47978
2251 0 92.47242
2252 0 92.46506
2253 0 92.457695
2254 0 92.45034
2255 0 92.442986
2256 0 92.43563
2257 0 92.428276
2258 0 92.42092
2259 0 92.41357
2260 0 92.40621
2261 0 92.39886
2262 0 92.3915
2263 0 92.38415
2264 0 92.3768
2265 0 92.36945
2266 0 92.36211
2267 0 92.35476
2268 0 92.34741
2269 0 92.340065
2270 0 92.33272
2271 0 92.32537
2272 0 92.31802
2273 0 92.31068
2274 0 92.30334
2275 0 92.296
2276 0 92.28866
2277 0 92.28132
2278 0 92.27398
2279 0 92.26664
2280 0 92.2593
2281 0 92.25196
2282 0 92.24462
2283 0 92.23728
2284 0 92.22994
2285 0 92.22261
2286 0 92.21528
2287 0 92.20795
2288 0 92.200615
2289 0 92.19328
2290 0 92.18595
2291 0 92.17862
2292 0 92.17129
2293 0 92.163956
2294 0 92.156624
2295 0 92.1493
2296 0 92.141975
2297 0 92.13465
2298 0 92.12733
2299 0 92.12
2300 0 92.11268
2301 0 92.105354
2302 0 92.09803
2303 0 92.090706
2304 0 92.08338
2305 0 92.076065
2306 0 92.06875
2307 0 92.06143
2308 0 92.054115
2309 0 92.0468
2310 0 92.03948
2311 0 92.032166
2312 0 92.02485
2313 0 92.01753
2314 0 92.010216
2315 0 92.00291
2316 0 91.9956
2317 0 91.98829
2318 0 91.98098
2319 0 91.97367
2320 0 91.96636
2321 0 91.95905
2322 0 91.951744
2323 0 91.944435
2324 0 91.937126
2325 0 91.92982
2326 0 91.922516
2327 0 91.915215
2328 0 91.90791
2329 0 91.90061
2330 0 91.89331
2331 0 91.88601
2332 0 91.87871
2333 0 91.87141
2334 0 91.864105
2335 0 91.856804
2336 0 91.84951
2337 0 91.84222
2338 0 91.83492
2339 0 91.82763
2340 0 91.820335
2341 0 91.81304
2342 0 91.80575
2343 0 91.798454
2344 0 91.79116
2345 0 91.78387
2346 0 91.77658
2347 0 91.769295
2348 0 91.76201
2349 0 91.75472
2350 0 91.74744
2351 0 91.74015
2352 0 91.732864
2353 0 91.72558
2354 0 91.71829
2355 0 91.711006
2356 0 91.70373
2357 0 91.69645
2358 0 91.68917
2359 0 91.68189
2360 0 91.674614
2361 0 91.667336
2362 0 91.66006
2363 0 91.65278
2364 0 91.6455
2365 0 91.63822
2366 0 91.63094
2367 0 91.62367
2368 0 91.6164
2369 0 91.60913
2370 0 91.60186
2371 0 91.59459
2372 0 91.58732
2373 0 91.58005
2374 0 91.57278
2375 0 91.565506
2376 0 91.558235
2377 0 91.55097
2378 0 91.54371
2379 0 91.536446
2380 0 91.52918
2381 0 91.52192
2382 0 91.514656
2383 0 91.50739
2384 0 91.50013
2385 0 91.49287
2386 0 91.4856
2387 0 91.47835
2388 0 91.47109
2389 0 91.46384
2390 0 91.45658
2391 0 91.449326
2392 0 91.44207
2393 0 91.434814
2394 0 91.42756
2395 0 91.4203
2396 0 91.41305
2397 0 91.40579
2398 0 91.398544
2399 0 91.3913
2400 0 91.38405
2401 0 91.3768
2402 0 91.36955
2403 0 91.362305
2404 0 91.35506
2405 0 91.34781
2406 0 91.34056
2407 0 91.33331
2408 0 91.32607
2409 0 91.31883
2410 0 91.31159
2411 0 91.30435
2412 0 91.29711
2413 0 91.28987
2414 0 91.28263
2415 0 91.27539
2416 0 91.26815
2417 0 91.26091
2418 0 91.25367
2419 0 91.24644
2420 0 91.239204
2421 0 91.23197
2422 0 91.22474
2423 0 91.21751
2424 0 91.21027
2425 0 91.20304
2426 0 91.19581
2427 0 91.188576
2428 0 91.18134
2429 0 91.17412
2430 0 91.16689
2431 0 91.15967
2432 0 91.15244
2433 0 91.14522
2434 0 91.13799
2435 0 91.13077
2436 0 91.12354
2437 0 91.11632
2438 0 91.10909
2439 0 91.101875
2440 0 91.09466
2441 0 91.08744
2442 0 91.08022
2443 0 91.073006
2444 0 91.06579
2445 0 91.05857
2446 0 91.05135
2447 0 91.044136
2448 0 91.03692
2449 0 91.0297
2450 0 91.02249
2451 0 91.01528
2452 0 91.00807
2453 0 91.00086
2454 0 90.99365
2455 0 90.98644
2456 0 90.97923
2457 0 90.97202
2458 0 90.96481
2459 0 90.9576
2460 0 90.9504
2461 0 90.9432
2462 0 90.936
2463 0 90.928795
2464 0 90.92159
2465 0 90.91439
2466 0 90.90719
2467 0 90.89999
2468 0 90.892784
2469 0 90.88558
2470 0 90.87838
2471 0 90.871185
2472 0 90.86399
2473 0 90.8568
2474 0 90.8496
2475 0 90.84241
2476 0 90.83521
2477 0 90.82802
2478 0 90.82082
2479 0 90.81363
2480 0 90.806435
2481 0 90.79925
2482 0 90.79206
2483 0 90.784874
2484 0 90.77769
2485 0 90.7705
2486 0 90.76331
2487 0 90.75613
2488 0 90.74894
2489 0 90.74175
2490 0 90.734566
2491 0 90.72738
2492 0 90.7202
2493 0 90.71302
2494 0 90.70584
2495 0 90.69866
2496 0 90.69148
2497 0 90.6843
2498 0 90.677124
2499 0 90.669945
2500 0 90.662766
2501 0 90.65559
2502 0 90.648415
2503 0 90.64124
2504 0 90.63407
2505 0 90.6269
2506 0 90.61973
2507 0 90.61256
2508 0 90.605385
2509 0 90.59821
2510 0 90.59104
2511 0 90.58387
2512 0 90.576706
2513 0 90.56954
2514 0 90.56238
2515 0 90.555214
2516 0 90.54805
2517 0 90.540886
2518 0 90.53372
2519 0 90.52656
